CODE, DESCRIPTION ,Brand,MODEL,CATEGORY,SUB_CATAGORY,START_YEAR,END_YEAR,OEM,PCS,NW,GW,M3,PRICE,MODE_SERIES,FRONT_BACK,LOCATION,REVIEWS,YEARS_ACCEPTED,IMAGE_NAME,unique_id
IZGC037 NB,FUEL DOOR COVER,Isuzu,D-MAX,Engine and Mechanical Parts,Fuel System,2006,2008,Y088-OFAJG-6X,1,0.079585847,0.128517567,0.001203931,231.31,3.0,Front,Single Part,"[{""rating"": 4.3, ""review"": ""This Head Lamp is fantastic! It has exceeded my expectations in terms of performance and reliability. I am extremely satisfied with its quality and durability.""}]","[2006, 2007, 2008]",,13
IZFF037 F LB,FENDER FLARE FRT LH 2.0 mm.,Isuzu,D-MAX,Accessories and Ornamental,Fender Flare,2002,2004,V2L9-G8UO1-7E,1,4.827548961,1.254845231,0.878937771,96.81,3.0,Front,Left,"[{""rating"": 4.5, ""review"": ""I'm extremely satisfied with this Radiator. It exceeded my expectations and significantly improved the performance of my vehicle. Highly recommended!""}]","[2002, 2003, 2004]",,14
IZFF037 F RB,FENDER FLARE FRT RH 2.0 mm.,Isuzu,D-MAX,Accessories and Ornamental,Fender Flare,2002,2004,4EOA-PMSXV-MR,1,10.62080601,12.22638997,0.659696121,79.74,3.0,Front,Right Side,"[{""rating"": 4.7, ""review"": ""I can't say enough good things about this Radiator. It's a perfect fit for my vehicle and has boosted its power and responsiveness. Very happy with my purchase!""}]","[2002, 2003, 2004]",,15
IZFF037 F RA,FENDER FLARE FRT RH 2.5 mm,Isuzu,D-MAX,Accessories and Ornamental,Fender Flare,2002,2004,8-97331-829-0,1,1.026287715,2.362085262,0.115673834,60.22,3.0,Front,Right Side,"[{""rating"": 4.4, ""review"": ""I am impressed with the quality and functionality of this Radiator. It's easy to install and has improved the handling and stability of my vehicle. Great product!""}]","[2002, 2003, 2004]",,16
IZFF037 R LB,FENDER FLARE REAR LH 2.0 mm.,Isuzu,D-MAX,Accessories and Ornamental,Fender Flare,2002,2004,8-97350-458-1,1,8.250877329,7.241378545,0.38807267,80.48,3.0,Front,Right Side,"[{""rating"": 4.4, ""review"": ""I am impressed with the quality and functionality of this Radiator. It's easy to install and has improved the handling and stability of my vehicle. Great product!""}, {""rating"": 4.9, ""review"": ""I couldn't be happier with this Radiator. It has enhanced the driving dynamics of my car and provided a significant power boost. Well worth the investment!""}, {""rating"": 4.6, ""review"": ""This Bumper has made a noticeable difference in the overall performance of my car. It's durable, reliable, and has exceeded my expectations. Highly recommend it!""}]","[2002, 2003, 2004]",,17
IZFF037 R LA,FENDER FLARE REAR LH 2.5 mm.,Isuzu,D-MAX,Accessories and Ornamental,Fender Flare,2002,2004,8-97235-465-2,1,15.09569245,0.67556509,0.104504966,78.85,3.0,Front,Right Side,"[{""rating"": 4.3, ""review"": ""This Head Lamp is fantastic! It has exceeded my expectations in terms of performance and reliability. I am extremely satisfied with its quality and durability.""}]","[2002, 2003, 2004]",,18
IZFF037 R RB,FENDER FLARE REAR RH 2.0 mm.,Isuzu,D-MAX,Accessories and Ornamental,Fender Flare,2002,2004,8-97350-460-1,1,19.35619452,16.32949034,0.196985895,136.89,3.0,Front,Right Side,"[{""rating"": 4.7, ""review"": ""I've been using this Fender Flare for a while now, and it continues to impress me. It has enhanced my car's overall performance and made a noticeable difference. Highly satisfied!""}]","[2002, 2003, 2004]",,19
IZFF037 R RA,FENDER FLARE REAR RH 2.5 mm,Isuzu,D-MAX,Accessories and Ornamental,Fender Flare,2002,2004,8-97235-466-2,1,4.326744086,2.643930483,0.520813785,50.27,3.0,Front,Right Side,"[{""rating"": 4.8, ""review"": ""I highly recommend this Side Panel to anyone looking for an upgrade. It has greatly improved my vehicle's performance and delivered exceptional results. Five stars!""}, {""rating"": 4.6, ""review"": ""This Bumper has made a noticeable difference in the overall performance of my car. It's durable, reliable, and has exceeded my expectations. Highly recommend it!""}]","[2002, 2003, 2004]",,20
8-97331-829-0,FRONT FENDER FLARE 2 DRS/4 DRS. RH,Isuzu,D-MAX,Accessories and Ornamental,Fender Flare,2004,2005,8-97377-431-0,1,12.71711919,8.651685228,1.277746712,100.29,,Front,Right Side,"[{""rating"": 4.7, ""review"": ""I can't say enough good things about this Radiator. It's a perfect fit for my vehicle and has boosted its power and responsiveness. Very happy with my purchase!""}, {""rating"": 4.8, ""review"": ""I highly recommend this Side Panel to anyone looking for an upgrade. It has greatly improved my vehicle's performance and delivered exceptional results. Five stars!""}]","[2004, 2005]",,21
8-97331-841-0,FRONT FENDER FLARE 2DRS/4 DRS. LH,Isuzu,D-MAX,Accessories and Ornamental,Fender Flare,2004,2005,8-97331-841-0,1,2.162899215,2.141080808,0.11720573,62.52,,Front,Left Side,"[{""rating"": 4.7, ""review"": ""I can't say enough good things about this Radiator. It's a perfect fit for my vehicle and has boosted its power and responsiveness. Very happy with my purchase!""}, {""rating"": 4.4, ""review"": ""I am impressed with the quality and functionality of this Radiator. It's easy to install and has improved the handling and stability of my vehicle. Great product!""}]","[2004, 2005]",,22
IZG061 LA,GRILLE INNER LOWER BASE BKG SPARK,Isuzu,D-MAX,Bumpers and Grilles,Grille,2019,2021,8-97551-246-2,5,5.031595015,6.927002335,0.137671484,53.38,6.0,Front,Left,"[{""rating"": 4.7, ""review"": ""I've been using this Fender Flare for a while now, and it continues to impress me. It has enhanced my car's overall performance and made a noticeable difference. Highly satisfied!""}, {""rating"": 4.3, ""review"": ""This Head Lamp is fantastic! It has exceeded my expectations in terms of performance and reliability. I am extremely satisfied with its quality and durability.""}, {""rating"": 4.6, ""review"": ""This Bumper has made a noticeable difference in the overall performance of my car. It's durable, reliable, and has exceeded my expectations. Highly recommend it!""}]","[2019, 2020, 2021]",,23
IZPF037 LB,PANEL FENDER LH 2.0 mm.,Isuzu,D-MAX,Bumpers and Grilles,Bumper Panel Flare,2002,2004,8-97331-862-0,1,6.925209796,1.399970204,0.909286505,190.12,3.0,Front,Left,"[{""rating"": 4.5, ""review"": ""I'm extremely satisfied with this Radiator. It exceeded my expectations and significantly improved the performance of my vehicle. Highly recommended!""}, {""rating"": 4.5, ""review"": ""I'm very pleased with this Door. It's a great addition to my vehicle, providing excellent performance and reliability. I would buy it again without hesitation!""}]","[2002, 2003, 2004]",,24
IZPF037 RB,PANEL FENDER RH 2.0 mm.,Isuzu,D-MAX,Bumpers and Grilles,Bumper Panel Flare,2002,2004,8-97331-863-0,1,8.681983097,10.71362756,0.251891816,165.0,3.0,Front,Right Side,"[{""rating"": 4.6, ""review"": ""This Bumper has made a noticeable difference in the overall performance of my car. It's durable, reliable, and has exceeded my expectations. Highly recommend it!""}]","[2002, 2003, 2004]",,25
IZPF037 LA,PANEL FLARE 2DRS/4DRS LH,Isuzu,D-MAX,Bumpers and Grilles,Bumper Panel Flare,2004,2005,8-97331-863-0,1,0.099655402,0.438531231,0.003278041,118.77,3.0,Front,Left,"[{""rating"": 4.3, ""review"": ""This Head Lamp is fantastic! It has exceeded my expectations in terms of performance and reliability. I am extremely satisfied with its quality and durability.""}, {""rating"": 4.9, ""review"": ""I couldn't be happier with this Radiator. It has enhanced the driving dynamics of my car and provided a significant power boost. Well worth the investment!""}, {""rating"": 4.7, ""review"": ""I've been using this Fender Flare for a while now, and it continues to impress me. It has enhanced my car's overall performance and made a noticeable difference. Highly satisfied!""}]","[2004, 2005]",,26
8-97331-863-1,PANEL FLARE 2DRS/4DRS LH,Isuzu,D-MAX,Accessories and Ornamental,Ornament,2004,2005,8-97331-863-1,1,6.892237611,5.380294018,1.442121077,74.73,,Front,Left Side,"[{""rating"": 4.8, ""review"": ""This Fender Flare is a game-changer! It has enhanced my driving experience and provided noticeable improvements in fuel efficiency. Great value for the price!""}, {""rating"": 4.8, ""review"": ""I highly recommend this Side Panel to anyone looking for an upgrade. It has greatly improved my vehicle's performance and delivered exceptional results. Five stars!""}, {""rating"": 4.9, ""review"": ""I couldn't be happier with this Radiator. It has enhanced the driving dynamics of my car and provided a significant power boost. Well worth the investment!""}]","[2004, 2005]",,27
IZPF037 RA,PANEL FLARE 2DRS/4DRS RH,Isuzu,D-MAX,Bumpers and Grilles,Bumper Panel Flare,2004,2005,8-97331-862-0,1,0.106959009,0.39460163,0.003087879,86.1,3.0,Front,Right Side,"[{""rating"": 4.5, ""review"": ""I'm very pleased with this Door. It's a great addition to my vehicle, providing excellent performance and reliability. I would buy it again without hesitation!""}, {""rating"": 4.8, ""review"": ""This Fender Flare is a game-changer! It has enhanced my driving experience and provided noticeable improvements in fuel efficiency. Great value for the price!""}]","[2004, 2005]",,28
IZFF037 F LA,FENDER FLARE FRT LH 2.5 mm.,Isuzu,D-MAX,Accessories and Ornamental,Fender Flare,2002,2004,8-97331-841-0,1,1.770182424,1.757752001,0.075250439,85.65,3.0,Front,Left,"[{""rating"": 4.5, ""review"": ""I'm very pleased with this Door. It's a great addition to my vehicle, providing excellent performance and reliability. I would buy it again without hesitation!""}, {""rating"": 4.3, ""review"": ""This Head Lamp is fantastic! It has exceeded my expectations in terms of performance and reliability. I am extremely satisfied with its quality and durability.""}, {""rating"": 4.5, ""review"": ""I'm extremely satisfied with this Radiator. It exceeded my expectations and significantly improved the performance of my vehicle. Highly recommended!""}]","[2002, 2003, 2004]",,29
IZPF037 LA,PANEL FLARE LH 2.5 mm.,Isuzu,D-MAX,Bumpers and Grilles,Bumper Panel Flare,2002,2004,8-97331-862-0,1,0.097566137,0.433784301,0.003249901,57.27,3.0,Front,Left,"[{""rating"": 4.8, ""review"": ""I highly recommend this Side Panel to anyone looking for an upgrade. It has greatly improved my vehicle's performance and delivered exceptional results. Five stars!""}, {""rating"": 4.4, ""review"": ""I am impressed with the quality and functionality of this Radiator. It's easy to install and has improved the handling and stability of my vehicle. Great product!""}, {""rating"": 4.8, ""review"": ""This Fender Flare is a game-changer! It has enhanced my driving experience and provided noticeable improvements in fuel efficiency. Great value for the price!""}]","[2002, 2003, 2004]",,30
IZPF037 RA,PANEL FLARE RH 2.5 mm.,Isuzu,D-MAX,Bumpers and Grilles,Bumper Panel Flare,2002,2004,8-97331-863-0,1,0.086104817,0.403901793,0.00357904,175.26,3.0,Front,Right Side,"[{""rating"": 4.7, ""review"": ""I can't say enough good things about this Radiator. It's a perfect fit for my vehicle and has boosted its power and responsiveness. Very happy with my purchase!""}]","[2002, 2003, 2004]",,31
IZRD037 NA,RADIATOR AUTO 3000 CC 2WD,Isuzu,D-MAX,Engine and Mechanical Parts,Radiator,2003,2005,8-97333-349-0,1,5.499172286,6.634233923,0.039957472,468.46,3.0,Front,Single Part,"[{""rating"": 4.7, ""review"": ""I've been using this Fender Flare for a while now, and it continues to impress me. It has enhanced my car's overall performance and made a noticeable difference. Highly satisfied!""}]","[2003, 2004, 2005]",,32
IZFF037 SB,FENDER FLARE SET (6 PCS.) 2.5 MM,Isuzu,D-MAX,Accessories and Ornamental,Fender Flare,2002,2003,QVVH-51JPQ-VZ,1,6.34715176,12.26595796,1.051933324,127.45,3.0,Front,Set,"[{""rating"": 4.7, ""review"": ""I've been using this Fender Flare for a while now, and it continues to impress me. It has enhanced my car's overall performance and made a noticeable difference. Highly satisfied!""}, {""rating"": 4.8, ""review"": ""This Fender Flare is a game-changer! It has enhanced my driving experience and provided noticeable improvements in fuel efficiency. Great value for the price!""}, {""rating"": 4.6, ""review"": ""This Bumper has made a noticeable difference in the overall performance of my car. It's durable, reliable, and has exceeded my expectations. Highly recommend it!""}]","[2002, 2003]",,33
IZFF049 SB,FENDER FLARE SET 2.5 MM,Isuzu,D-MAX,Accessories and Ornamental,Fender Flare,2006,2008,PKRP-MN5R4-06,1,3.803225842,5.047728741,0.111239011,145.21,4.0,Front,Set,"[{""rating"": 4.7, ""review"": ""I can't say enough good things about this Radiator. It's a perfect fit for my vehicle and has boosted its power and responsiveness. Very happy with my purchase!""}, {""rating"": 4.5, ""review"": ""I'm very pleased with this Door. It's a great addition to my vehicle, providing excellent performance and reliability. I would buy it again without hesitation!""}]","[2006, 2007, 2008]",,34
IZFL059 SA,FOG LAMP W/WIRE AND COVER SETS,Isuzu,D-MAX,Exterior Lighting and Signals,Fog Lamp/ Front Lamp,2016,2016,Q9N0-RIQAG-D2,8,11.74020172,12.15891015,0.12828279,80.42,5.0,Front,Left,"[{""rating"": 4.8, ""review"": ""I highly recommend this Side Panel to anyone looking for an upgrade. It has greatly improved my vehicle's performance and delivered exceptional results. Five stars!""}, {""rating"": 4.3, ""review"": ""This Head Lamp is fantastic! It has exceeded my expectations in terms of performance and reliability. I am extremely satisfied with its quality and durability.""}, {""rating"": 4.7, ""review"": ""I can't say enough good things about this Radiator. It's a perfect fit for my vehicle and has boosted its power and responsiveness. Very happy with my purchase!""}]",[2016],,35
IZGC039 NB,FUEL DOOR COVER,Isuzu,D-MAX,Engine and Mechanical Parts,Fuel System,2006,2008,MW6U-2C438-O3,1,0.091352208,0.127567429,0.001083699,236.61,3.0,Front,Single Part,"[{""rating"": 4.8, ""review"": ""This Fender Flare is a game-changer! It has enhanced my driving experience and provided noticeable improvements in fuel efficiency. Great value for the price!""}, {""rating"": 4.9, ""review"": ""I couldn't be happier with this Radiator. It has enhanced the driving dynamics of my car and provided a significant power boost. Well worth the investment!""}]","[2006, 2007, 2008]",,36
8-97235-469-1,REAR FENDER FLARE 4 DRS. RH,Isuzu,D-MAX,Accessories and Ornamental,Fender Flare,2004,2005,8-97350-478-1,1,0.126053652,0.142507436,0.002322989,126.82,,Back,Right Side,"[{""rating"": 4.8, ""review"": ""I highly recommend this Side Panel to anyone looking for an upgrade. It has greatly improved my vehicle's performance and delivered exceptional results. Five stars!""}]","[2004, 2005]",,37
8-97235-470-1,REAR FENDER FLARE 4 DRS. LH,Isuzu,D-MAX,Accessories and Ornamental,Fender Flare,2004,2005,8-97235-470-1,1,0.168662238,0.157183825,0.002581305,76.45,,Back,Left Side,"[{""rating"": 4.8, ""review"": ""I highly recommend this Side Panel to anyone looking for an upgrade. It has greatly improved my vehicle's performance and delivered exceptional results. Five stars!""}]","[2004, 2005]",,38
8-97350-460-1,REAR FENDER FLARE 4 DRS. LH,Isuzu,D-MAX,Accessories and Ornamental,Fender Flare,2004,2005,8-97377-500-0,1,0.943218721,2.192981501,0.488530002,78.62,,Back,Left Side,"[{""rating"": 4.5, ""review"": ""I'm very pleased with this Door. It's a great addition to my vehicle, providing excellent performance and reliability. I would buy it again without hesitation!""}]","[2004, 2005]",,39
8-97350-458-1,REAR FENDER FLARE 4 DRS. RH,Isuzu,D-MAX,Accessories and Ornamental,Fender Flare,2004,2005,8-97377-499-0,1,2.766431972,2.891816034,1.216951071,54.64,,Back,Right Side,"[{""rating"": 4.8, ""review"": ""I highly recommend this Side Panel to anyone looking for an upgrade. It has greatly improved my vehicle's performance and delivered exceptional results. Five stars!""}, {""rating"": 4.9, ""review"": ""I couldn't be happier with this Radiator. It has enhanced the driving dynamics of my car and provided a significant power boost. Well worth the investment!""}]","[2004, 2005]",,40
IZFF037 SD,FENDER FLARE SET (6 PCS.) 2.0 MM,Isuzu,D-MAX,Accessories and Ornamental,Fender Flare,2002,2003,51KR-3UG1Y-MK,1,4.589020022,12.37538669,0.03395383,81.43,3.0,Front,Set,"[{""rating"": 4.6, ""review"": ""This Bumper has made a noticeable difference in the overall performance of my car. It's durable, reliable, and has exceeded my expectations. Highly recommend it!""}, {""rating"": 4.9, ""review"": ""I couldn't be happier with this Radiator. It has enhanced the driving dynamics of my car and provided a significant power boost. Well worth the investment!""}, {""rating"": 4.8, ""review"": ""This Fender Flare is a game-changer! It has enhanced my driving experience and provided noticeable improvements in fuel efficiency. Great value for the price!""}]","[2002, 2003]",,41
FDSP042 NA,REAR BUMPER COVER PART,Ford,FOCUS,Exterior Body Panels,Side Panel,2005,2006,5M51-F17K922-BAX,1,2.107233059,6.972850396,2.488154333,274.86,4.0,Rear,Single Part,"[{""rating"": 4.8, ""review"": ""I highly recommend this Side Panel to anyone looking for an upgrade. It has greatly improved my vehicle's performance and delivered exceptional results. Five stars!""}, {""rating"": 4.8, ""review"": ""This Fender Flare is a game-changer! It has enhanced my driving experience and provided noticeable improvements in fuel efficiency. Great value for the price!""}, {""rating"": 4.4, ""review"": ""I am impressed with the quality and functionality of this Radiator. It's easy to install and has improved the handling and stability of my vehicle. Great product!""}]","[2005, 2006]",,42
FDP042 NA,REAR BUMPER LOWER 1800 CC,Ford,FOCUS,Accessories and Ornamental,Valance Panel,2005,2006,4M51-17682-CH,1,1.394729439,6.01570935,0.994697551,149.3,4.0,Rear,Single Part,"[{""rating"": 4.5, ""review"": ""I'm extremely satisfied with this Radiator. It exceeded my expectations and significantly improved the performance of my vehicle. Highly recommended!""}, {""rating"": 4.6, ""review"": ""This Bumper has made a noticeable difference in the overall performance of my car. It's durable, reliable, and has exceeded my expectations. Highly recommend it!""}]","[2005, 2006]",,43
FDP042 NB,REAR BUMPER LOWER 2000 CC,Ford,FOCUS,Accessories and Ornamental,Valance Panel,2005,2006,4M51-17683-CH,1,1.934541756,1.627139298,0.289347274,192.64,4.0,Rear,Single Part,"[{""rating"": 4.3, ""review"": ""This Head Lamp is fantastic! It has exceeded my expectations in terms of performance and reliability. I am extremely satisfied with its quality and durability.""}, {""rating"": 4.7, ""review"": ""I've been using this Fender Flare for a while now, and it continues to impress me. It has enhanced my car's overall performance and made a noticeable difference. Highly satisfied!""}]","[2005, 2006]",,44
FDBS042 LA,REAR BUMPER STRIP LH LH,Ford,FOCUS,Bumpers and Grilles,Bumper Bracket,2005,2006,5M51-17C769-E,1,8.111260809,7.032374818,0.479252058,61.5,4.0,Rear,Left,"[{""rating"": 4.7, ""review"": ""I've been using this Fender Flare for a while now, and it continues to impress me. It has enhanced my car's overall performance and made a noticeable difference. Highly satisfied!""}, {""rating"": 4.4, ""review"": ""I am impressed with the quality and functionality of this Radiator. It's easy to install and has improved the handling and stability of my vehicle. Great product!""}]","[2005, 2006]",,45
FDBS042 CA,REAR BUMPER STRIP LONG,Ford,FOCUS,Bumpers and Grilles,Bumper Bracket,2005,2006,5M51-17E911-B,1,1.971545627,2.857703374,0.215814891,63.56,4.0,Rear,Center,"[{""rating"": 4.4, ""review"": ""I am impressed with the quality and functionality of this Radiator. It's easy to install and has improved the handling and stability of my vehicle. Great product!""}]","[2005, 2006]",,46
FDBS042 RA,REAR BUMPER STRIP RH RH,Ford,FOCUS,Bumpers and Grilles,Bumper Bracket,2005,2006,5M51-17C768-E,1,19.79480568,1.775059153,0.707079634,61.23,4.0,Rear,Right Side,"[{""rating"": 4.4, ""review"": ""I am impressed with the quality and functionality of this Radiator. It's easy to install and has improved the handling and stability of my vehicle. Great product!""}, {""rating"": 4.7, ""review"": ""I can't say enough good things about this Radiator. It's a perfect fit for my vehicle and has boosted its power and responsiveness. Very happy with my purchase!""}]","[2005, 2006]",,47
FDAI041 NA,AIR INTAKE,Ford,FOCUS,Engine and Mechanical Parts,Engine Parts,2005,2006,5M51-9E635-AB,1,23.67290499,9.135042735,0.712674852,92.6,4.0,Front,Single Part,"[{""rating"": 4.8, ""review"": ""This Fender Flare is a game-changer! It has enhanced my driving experience and provided noticeable improvements in fuel efficiency. Great value for the price!""}, {""rating"": 4.5, ""review"": ""I'm very pleased with this Door. It's a great addition to my vehicle, providing excellent performance and reliability. I would buy it again without hesitation!""}, {""rating"": 4.9, ""review"": ""I couldn't be happier with this Radiator. It has enhanced the driving dynamics of my car and provided a significant power boost. Well worth the investment!""}]","[2005, 2006]",,48
FDDB041 NA,DASH BOARD BEIGE RHD.,Ford,FOCUS,Accessories and Ornamental,Body Parts,2005,2006,4M51-A04320-AAW,1,17.78233352,11.0612402,0.069545063,386.94,4.0,Front,Single Part,"[{""rating"": 4.8, ""review"": ""I highly recommend this Side Panel to anyone looking for an upgrade. It has greatly improved my vehicle's performance and delivered exceptional results. Five stars!""}]","[2005, 2006]",,49
FDDB041 NA,DASH BOARD BEIGE RHD.,Ford,FOCUS,Accessories and Ornamental,Body Parts,2005,2006,4M51-A04320-AAW,1,9.503175729,3.071254431,0.62859414,162.13,4.0,Front,Single Part,"[{""rating"": 4.7, ""review"": ""I've been using this Fender Flare for a while now, and it continues to impress me. It has enhanced my car's overall performance and made a noticeable difference. Highly satisfied!""}]","[2005, 2006]",,50
FDDB041 NB,DASH BOARD GRAY RHD.,Ford,FOCUS,Accessories and Ornamental,Body Parts,2005,2006,MQT3-PK3WB-XJ,1,5.657665867,13.11707139,0.58876898,328.69,4.0,Front,Single Part,"[{""rating"": 4.5, ""review"": ""I'm very pleased with this Door. It's a great addition to my vehicle, providing excellent performance and reliability. I would buy it again without hesitation!""}, {""rating"": 4.3, ""review"": ""This Head Lamp is fantastic! It has exceeded my expectations in terms of performance and reliability. I am extremely satisfied with its quality and durability.""}, {""rating"": 4.5, ""review"": ""I'm extremely satisfied with this Radiator. It exceeded my expectations and significantly improved the performance of my vehicle. Highly recommended!""}]","[2005, 2006]",,51
FDDB041 NB,DASH BOARD GRAY RHD.,Ford,FOCUS,Accessories and Ornamental,Body Parts,2005,2006,D3XL-HVQU3-ES,1,1.694692351,8.358892045,0.32337159,185.14,4.0,Front,Single Part,"[{""rating"": 4.7, ""review"": ""I can't say enough good things about this Radiator. It's a perfect fit for my vehicle and has boosted its power and responsiveness. Very happy with my purchase!""}, {""rating"": 4.8, ""review"": ""This Fender Flare is a game-changer! It has enhanced my driving experience and provided noticeable improvements in fuel efficiency. Great value for the price!""}]","[2005, 2006]",,52
